accession_number	short_title	description	fabric
2009.10.2.238	gem cast	Nude female figure with drapery (?Aphrodite) seated under a vine\\/branch, accompanied by a winged child\\nNumber 28	 
2009.10.2.239	gem cast	Clothed female figure, walking with flowing drapery holding plants in her left hand and a bow and arrow in her right. Accompanied by a winged Eros holding an arrow and with a quiver.\\nNumber 29	 
2009.10.2.24	gem cast	Portrait of Janus, with inscipton - ILVALORERIGVARDAINANZIEDIETRO. \\nNumber 23.	 
2009.10.2.240	gem cast	Nude Aphrodite with drapery over her legs sat on a rock, wearing a necklace and bracelet and accompanied by a flying Eros. With an inscription.\\nNumber 30	 
2009.10.2.241	gem cast	Nude Aphrodite standing with drapery over her arms, holding an arrow and accompanied by winged Eros.\\nNumber 31	 
2009.10.2.242	gem cast	Standing female figure facing standing winged child.\\nNumber 32	 
2009.10.2.243	gem cast	Standing female figure leaning on a pillar, atop of which is a herm, holding a torch in her right hand.  Accompanied by a butterfly and a winged Eros\\nNumber 33	 
2009.10.2.244	gem cast	Nude Aphrodite with drapery across her shoulders, holding an arrow in her right hand, accompanied by winged Eros on the right and a quiver of arrows on the left.\\nNumber 34	 
2009.10.2.245	gem cast	Nude Aphrodite leaning on a pillar and holding a small object in her right hand, accompanied by a winged Eros carrying a torch and offering a wreath to Aphrodite.\\nNumber 35	 
2009.10.2.246	gem cast	Nude Aphrodite reclining against a pillar with drapery, accompanied by winged Eros. Pillar with objects ontop and a bow and quiver leaning against it.\\nNumber 36	 
2009.10.2.247	gem cast	Swan (?) with wings out behind it\\nNumber 37	 
2009.10.2.248	gem cast	(?) Gateway or building with two pillars either side and a larger central pillar. A crescent moon and star above the central point and a bird on either side above the paired pillars.\\nNumber 38	 
2009.10.2.249	gem cast	Winged Eros at a flaming altar in front of a temple, with a statue of a nude Aphrodite inside, and a tree behind\\nNumber 39	 
2009.10.2.25	gem cast	Portrait of man with curly beard and crown (Neptune) \\nNumber 25	 
2009.10.2.250	gem cast	Hare inside a large ring centrally, figure in a chariot drawn by two birds above and a butterfly on the right hand side. ? flaming torches on either side and inscription below\\nNumber 40	 
2009.10.2.251	gem cast	Hare inside a large ring centrally, figure in a four-horse chariot above, helmeted head on the left with an inscription, shiled on the right and a ? grasshpopper at the bottom\\nNumber 41	 
2009.10.2.252	gem cast	Nude three graces standing holding drapery \\nNumber 42	 
2009.10.2.253	gem cast	Nude three graces standing holding small objects in their hands, with a vase of water on the left and a pillar with a jug pouring out water on the right\\nNumber 43	 
2009.10.2.254	gem cast	Nude three graces standing holding drapery\\nNumber 44	 
2009.10.2.255	gem cast	Nude three graces standing one holding an apple above a shield with a helmet resting on it, another holding a wreath above a flaming altar, with a butterfly next to it.\\nNumber 45	 
2009.10.2.256	gem cast	Reclining nude Aprhodite with drapery under a tree with a bird in it, accompanied by one winged child playing a lyre, another fanning her and a third figure under the tree.\\nNumber 46	 
2009.10.2.257	gem cast	Nude Aprhodite sitting holding drapery and accompanied by a seated Eros with a quiver on his back\\nNumber 47	 
2009.10.2.258	gem cast	Nude Aprhodite standing holding drapery behind her\\nNumber 48	 
2009.10.2.259	gem cast	Nude Aphrodite lying on her front on a bed with drapery around her viewed from above. Inscription below.\\nNumber 49	 
2009.10.2.26	gem cast	Man with curly beard and crown (Neptune) with greek letters in background ( Delta, Rho, Gamma, Eplison) on left (Pi, Nu, Delta, Omicron) on right. \\nNumber 26.	 
2009.10.2.260	gem cast	Nude Aphrodite embracing a standing nude male\\nNumber 50	 
2009.10.2.261	gem cast	Nude male standing holding a spear in his left hand, leaning against a pillar and accompanied by a dog\\nNumber 51	 
2009.10.2.262	gem cast	Nude male wearing a cloak and holding a spear in his right hand, accompanied by a dog and flying winged child holding an object\\nNumber 52	 
2009.10.2.263	gem cast	Nude male figure leaning against a pillar holding a spear in his left hand and accompanied by a dog. Inscription down the left hand side\\nNumber 53	 
2009.10.2.264	gem cast	Central figure of nude Aphrodite holding an arrow in her right hand and holding a winged Eros\\' hand in her left, a shield with a face leaning against her left leg and armour on the floor. Winged Eros holding a bow on the right, and kneeling nude Hephaestus on the left with a hammer held above his head and an anvil in front of him.\\nNumber 54	 
2009.10.2.265	gem cast	Central figure of nude Aphrodite wearing a cloak holding arrows in her left hand, with sitting Hephaestus in front of an anvil on the left holding a hammer above his head,and winged Eros holding a bow on the right.\\nNumber 55	 
2009.10.2.266	gem cast	Nude standing Aphrodite holding a torch and another object, with a satyr on the right holding an object, and Eros with a bow and a seated Hephaestus on the left holding a hammer above his head with an anvil in front of him.\\nNumber 56	 
2009.10.2.267	gem cast	Nude Ares and Aphrodite embracing on a bed to the right, with Hephaestus standing over them and casting a net over them, and a fourth figure (?) reclining in the left corner. \\nNumber 57	 
2009.10.2.268	gem cast	Standing nude youth wearing a helmet and holding a spear in his left hand and a shield in his right.  \\nNumber 58	 
2009.10.2.269	gem cast	Walking male figure wearing a helmet, holding a spear or staff and a variety of other objects, with a star and another object by his feet. \\nNumber 59	 
2009.10.2.27	gem cast	Portrait of Neptune\\nNumber 27	 
2009.10.2.270	gem cast	Armoured male in a two-horse chariot, holding a spear and a shield, accompanied by a dog and a scorpion. \\nNumber 60	 
2009.10.2.271	gem cast	Large bird or bird-like creature holding a shield and two spears.  \\nNumber 61	 
2009.10.2.272	gem cast	Standing nude male figure wearing a cloak and helmet, holding a spear. Male has his arm around a semi-nude female who has one foot resting on a pillar, with a second pillar on the right.  \\nNumber 62	 
2009.10.2.273	gem cast	Nude male figure holding a large shield in his left hand, with armour at his feet, accompanied by a semi-nude female figure wearing a cloak or necklace and holding a bow in her right hand.  \\nNumber 63	 
2009.10.2.274	gem cast	Nude male figure on the right with drapery (? and a spear) on the right, passing a spherical object with a nude (?) female figure on the left, with a pillar on the far left.  A small child is stood between them holding a bow.  \\nNumber 64	 
2009.10.2.275	gem cast	Central figure of a seated nude male wearing a helmet, surrounded by drapery, with a standing semi-nude female on the right resting a sheild against her leg, and a torch-bearing child on the left, standing on armour.  \\nNumber 65	 
2009.10.2.276	gem cast	Standing nude male figure wearing a helmet and a cloak, holding a spear in his right hand and embracing a semi-nude female figure with his left.  Female figure has drapery over her legs and is resting her right foot on a ball.  \\nNumber 66	 
2009.10.2.277	gem cast	Armed Athena wearing an aegis and helmet, holding a spear in her right hand and a shield emblazoned with Medusa\\'s head in her left.  \\nNumber 67	 
2009.10.2.278	gem cast	Two male heads facing each other in profile, with a star above each head.  \\nNumber 68	 
2009.10.2.279	gem cast	Two nude male children standing with an arm around each other and holding drapery behind them.  \\nNumber 69	 
2009.10.2.28	gem cast	Portrait of Neptune\\nNumber 28	 
2009.10.2.280	gem cast	Two nude male youths mirroring each other, both holding a spear in one hand and a sceptre and drapery in the other with a star above each of their heads.  \\nNumber 70	 
2009.10.2.281	gem cast	Two males on horses facing each other and mirroring each other, both wearing a helmet and cloak and holding a spear. The horses mirror each other also.  \\nNumber 71	 
2009.10.2.282	gem cast	Male figure wearing a helmet and holding a spear, leading a horse through a doorway or between pillars.  \\nNumber 72	 
2009.10.2.283	gem cast	Kneeling female figure holding a staff-like object and another object in her hands.  \\nNumber 73	 
2009.10.2.284	gem cast	Central seated figure touching a free-standing skeleton, with a standing figure on the left and a winged child holding an object on the left.  \\nNumber 74	 
2009.10.2.285	oval	Depicts Hercules standing to his right. He is naked and carrying the skin of a lion, there is a club to the right of the image.\\nNumber - 1	 
2009.10.2.286	oval	Depicts Hercules naked standing to the right, with a lions skin draped over him and a club to his right.\\nNumber - 2	 
2009.10.2.287	oval	Right profile view of a man with curly hair.\\nNumber - 3	 
2009.10.2.288	oval	Profile head and upper back of a young male with drapery and a spear over his left shoulder.  \\nNumber 44	 
2009.10.2.289	oval	Right profile view of a man with curly hair.\\nNumber - 4	 
2009.10.2.29	gem cast	Portrait of Neptune\\nNumber 29.	 
2009.10.2.290	oval	Right profile view of a man with curly hair and a garment around his neck.\\nNumber - 5	 
2009.10.2.291	oval	Right profile view of a man with curly hair and a garment around his neck.\\nNumber - 6	 
2009.10.2.292	oval	Left profile view of a man with a decorative wreath in his hair and a garment around his neck.\\nNumber - 7	 
2009.10.2.293	oval	Right profile view of a man with curly hair and a garment around his neck.\\nNumber - 7	 
2009.10.2.294	oval	Right profile view of a bearded man with curly hair and a garment around his neck.\\nNumber - 9	 
2009.10.2.295	oval	Right profile view of a bearded man with curly hair.\\nNumber - 10	 
2009.10.2.296	oval	Image depicts front view of Hercules facing slightly to the left, he is wearing lion skin around his neck.\\nNumber - 11	 
2009.10.2.297	oval	Left profile view of a bearded man with curling hair, wearing a garment.\\nNumber - 12	 
2009.10.2.298	oval	Left profile view of a bearded man with curly hair.\\nNumber - 13	 
2009.10.2.299	oval	Right profile view of a bearded man with curly hair.\\nNumber - 14	 
2009.10.2.3	gem cast	A lion surrounded by letters.\\nNumber 3.	 
2009.10.2.30	gem cast	Portrait of Neptune \\nNumber 30	 
2009.10.2.300	gem cast	Side profile of a bearded man, looking right	 
2009.10.2.301	gem cast	Profile of a bearded man looking to the left	 
2009.10.2.302	gem cast	Profile of a bearded man looking right	 
2009.10.2.303	gem cast	Profile of Herakles with helmet, looking right.	 
2009.10.2.304	gem cast	Profile of Herakles with helmet, looking right	 
2009.10.2.305	gem cast	Profile of Herakles with helmet, looking right.	 
2009.10.2.306	gem cast	Profile of Herakles with helmet, looking right.	 
2009.10.2.307	gem cast	A scene depicting from left to right: a naked man, Athena, and a clothed woman. The two figures on the outside are looking towards a helemeted Athena who is holding an olive branch and spear.	 
2009.10.2.308	gem cast	Scene showing a naked man looking right	 
2009.10.2.309	gem cast	Scene showing Herakles sitting on the skin of the nemean lion and holding it\\'s head. His club stands nearby.	 
2009.10.2.31	gem cast	Portrait of Neptune, In background very faint merperson or fish holding trident with tail and two letters L and Z. \\nNumber 31	 
2009.10.2.310	gem cast	A scene showing Herakles facing left. In his right hand he carries his club and the head of the nemean lion. The lion\\'s skin is draped over his back	 
2009.10.2.311	gem cast	Herakles is depicted facing left. With his left hand he rests his club upon his shoulder whilst with his right he holds the skin the nemean lion.	 
2009.10.2.312	gem cast	A Scene showing Herakles facing away, club in hand.	 
2009.10.2.313	gem cast	Scene showing Herakles, club in hand, walking forwards.	 
2009.10.2.314	gem cast	Scene showing Herakles facing left and leaning on his club.	 
2009.10.2.315	gem cast	A scene depicting Herakles facing left. In his left hand he holds his club and in his right he has a bowl (possibly the one given to him by Helios, the sun god)	 
